rating,calories,protein,fat,sodium
5,0,0,0,0
2.5,0,0,0,1
5,0,0,0,26
0,0,0,0,2391
3.75,1,0,0,9
0,1,0,0,25
3.75,1,0,0,42
3.125,2,0,0,5
0,2,0,0,17
5,2,0,0,31
0,2,0,0,2377
3.75,3,0,0,30
4.375,3,0,0,40
4.375,3,0,0,40
4.375,3,0,0,42
0,3,0,0,2509
3.75,4,0,0,1
5,4,0,0,92
4.375,4,0,0,477
3.125,4,0,0,2509
0,5,0,0,34
3.75,6,0,0,0
3.75,6,0,0,0
3.75,6,0,0,9
3.75,6,0,0,26
3.75,6,0,0,40
0,6,0,0,2386
4.375,6,1,0,46
0,7,0,0,12
0,7,0,0,78
3.75,7,0,0,2883
0,7,1,0,65
4.375,8,0,0,1
5,8,0,0,21
3.125,9,0,0,90
3.125,9,0,1,1
0,10,0,0,12
0,10,0,1,3
2.5,10,1,0,10
0,10,1,0,61
3.75,11,0,0,10
3.125,11,0,0,11
5,11,0,0,118
0,11,2,0,44
3.75,12,0,0,0
0,12,0,0,10
3.75,12,0,1,14
5,12,0,1,2419
3.125,12,1,0,43
4.375,13,0,0,1
4.375,13,0,1,12
4.375,13,0,1,23
0,13,0,1,25
3.125,13,1,0,44
3.75,13,1,1,33
4.375,13,1,1,38
2.5,14,0,0,0
4.375,14,0,0,38
3.75,14,0,1,4
5,14,1,0,30
4.375,14,1,1,0
3.75,15,0,0,4
3.75,15,0,1,34
2.5,15,0,1,59
4.375,15,1,0,33
4.375,15,1,0,54
4.375,15,1,1,21
4.375,15,1,1,26
3.75,15,1,1,57
4.375,15,2,1,50
3.75,16,0,0,0
4.375,16,0,0,2292
3.75,16,0,1,13
1.25,16,0,1,15
3.75,16,1,0,2357
3.75,16,1,0,2388
0,16,1,1,51
3.75,16,2,0,71
3.75,17,0,1,22
4.375,17,0,1,24
5,17,0,1,1255
0,17,0,1,2420
0,17,1,1,57
0,17,3,0,63
3.125,18,0,0,0
4.375,18,0,0,1
4.375,18,1,0,202
4.375,18,1,1,4
4.375,18,1,1,5
4.375,18,1,1,18
4.375,18,2,0,60
4.375,18,2,1,75
4.375,18,2,1,81
2.5,19,0,0,1
4.375,19,0,1,9
3.125,19,0,1,2316
3.75,19,0,2,15
3.125,19,1,0,1
0,19,1,1,23
1.875,19,1,1,29
5,19,1,1,31
4.375,19,1,1,36
4.375,19,1,1,78
4.375,19,2,1,43
3.75,19,2,1,130
5,19,3,0,30
5,20,0,0,1
3.75,20,0,1,20
2.5,20,0,2,5
0,20,1,0,496
3.75,20,1,0,638
5,20,1,1,1
4.375,20,1,1,3
4.375,20,1,1,35
3.75,20,1,1,37
3.75,20,2,1,21
4.375,20,2,1,50
4.375,20,2,1,78
5,21,0,0,6
3.75,21,0,1,38
4.375,21,0,2,11
4.375,21,1,0,244
4.375,21,1,0,457
5,21,1,0,472
5,21,1,1,4
3.125,21,2,1,19
3.75,21,2,1,109
3.75,21,2,1,345
0,21,3,1,60
4.375,22,0,0,118
4.375,22,0,0,2320
3.75,22,0,1,1
0,22,1,0,21
5,22,1,0,2865
3.75,22,1,1,53
3.125,22,1,1,73
3.75,22,1,2,68
0,22,2,1,75
4.375,22,3,1,102
2.5,23,0,1,31
3.75,23,1,0,7
5,23,1,0,13
5,23,1,0,128
0,23,1,0,162
3.125,23,1,0,552
3.75,23,1,1,5
0,23,1,1,6
3.75,23,1,2,4
5,23,1,2,49
3.75,23,1,2,61
3.125,23,2,0,149
0,23,2,1,54
3.75,23,2,1,95
3.75,23,4,0,205
2.5,24,0,2,37
2.5,24,1,0,12
3.75,24,1,1,1911
4.375,24,1,2,35
4.375,24,2,1,56
4.375,24,4,1,87
3.75,25,0,1,26
5,25,1,0,2
0,25,1,0,19
3.75,25,2,0,75
3.75,25,2,1,61
5,25,2,1,65
5,26,1,0,40
3.125,26,1,0,364
3.125,26,1,1,27
3.75,26,1,2,8
3.75,26,2,1,50
4.375,26,3,1,117
0,27,0,0,2293
2.5,27,0,2,3
0,27,1,0,139
0,27,1,0,168
4.375,27,1,0,389
3.75,27,1,1,11
3.75,27,1,1,50
2.5,27,1,1,149
5,27,1,1,1910
4.375,27,1,2,46
5,27,2,2,59
4.375,27,2,2,149
4.375,28,0,0,9
3.125,28,0,2,0
3.75,28,0,2,26
3.75,28,0,3,5
3.75,28,1,1,61
4.375,28,1,2,4
4.375,29,1,1,50
0,29,1,3,34
0,29,4,1,57
3.75,30,0,2,8
3.75,30,1,0,621
0,30,3,2,49
5,30,3,2,92
4.375,31,1,0,7
5,31,1,1,8
3.75,31,1,1,94
3.75,31,1,2,34
5,31,2,2,101
5,32,0,2,9
5,32,1,0,23
3.75,32,1,0,363
0,32,1,0,2267
0,32,1,1,362
5,32,1,1,435
5,32,1,1,959
5,32,1,1,2871
5,32,1,2,53
3.125,32,1,2,144
3.125,32,2,1,23
3.75,32,2,2,71
4.375,32,2,3,70
5,32,3,2,70
0,33,0,0,2
4.375,33,1,0,624
3.75,33,1,1,12
3.75,33,1,2,6
3.75,33,1,2,40
3.75,33,2,0,19
3.75,34,1,2,24
4.375,34,1,2,31
5,34,1,3,40
4.375,34,2,3,22
0,34,3,0,1582
5,35,0,0,23
5,35,1,0,184
0,35,1,0,1441
5,35,1,1,536
5,35,1,1,558
4.375,35,2,0,28
3.75,35,2,2,57
0,35,3,2,55
3.75,36,0,0,39
3.125,36,1,0,26
3.75,36,1,2,7
4.375,36,1,2,17
5,36,2,1,759
3.75,36,2,2,2
0,36,5,1,71
5,36,6,1,30
4.375,37,1,0,965
4.375,37,1,2,45
4.375,37,1,2,84
3.125,37,1,3,44
4.375,37,1,3,53
3.75,37,2,2,34
4.375,37,2,3,76
5,38,1,0,4
3.75,38,1,0,7
5,38,1,0,7
1.25,38,1,1,24
3.75,38,1,1,90
4.375,38,1,2,5
3.125,38,1,2,40
2.5,38,1,2,42
3.75,38,1,2,54
3.75,38,1,3,43
3.75,38,2,0,130
1.875,38,2,0,156
3.75,38,2,0,596
4.375,38,2,1,99
0,38,3,2,42
5,39,1,0,46
3.75,39,1,1,2295
1.875,39,1,2,86
4.375,39,1,2,97
3.75,39,1,3,45
4.375,39,1,4,71
3.125,39,2,1,311
4.375,39,2,2,88
0,39,2,3,8
3.125,40,0,2,1
4.375,40,1,0,4
3.75,40,1,0,1654
4.375,40,2,3,49
4.375,40,3,2,91
0,41,0,0,0
4.375,41,0,0,1
4.375,41,0,2,1
3.125,41,1,1,2323
0,41,1,4,7
4.375,41,1,4,55
4.375,41,2,1,3
3.75,41,2,2,2155
3.75,41,4,1,3912
4.375,41,4,2,63
3.75,41,4,2,347
5,41,5,2,109
0,42,0,0,16
3.125,42,1,2,102
4.375,42,1,3,36
4.375,42,2,3,68
3.75,42,2,3,106
5,42,3,1,102
3.75,42,4,2,68
0,42,4,3,52
4.375,43,0,5,52
5,43,1,2,13
4.375,43,1,2,54
0,43,1,2,244
3.75,43,1,3,4
0,43,1,3,55
3.75,43,1,4,49
4.375,43,2,0,384
4.375,43,2,1,478
3.75,43,2,3,79
3.75,43,3,1,131
2.5,43,3,3,44
4.375,43,5,1,92
0,44,0,0,5
3.75,44,0,3,36
3.125,44,0,5,3
5,44,1,1,17
5,44,1,1,75
4.375,44,1,2,4
5,44,2,2,31
5,44,2,2,38
3.125,44,2,2,362
4.375,44,2,3,92
3.75,44,2,4,82
4.375,44,2,4,89
4.375,44,3,2,146
4.375,44,3,3,50
3.125,44,3,3,88
4.375,45,1,0,3
2.5,45,1,0,13
3.75,45,1,2,8
4.375,45,1,3,73
4.375,45,2,1,166
2.5,45,2,1,334
3.75,45,2,1,617
4.375,45,2,2,95
3.75,45,3,1,140
3.125,45,4,1,699
2.5,46,1,0,1
4.375,46,1,1,4
4.375,46,1,1,342
4.375,46,1,2,73
3.75,46,1,4,51
3.75,46,1,5,6
4.375,46,2,3,92
5,46,3,2,30
4.375,46,3,3,119
3.75,47,1,0,467
4.375,47,1,0,541
0,47,1,1,3
4.375,47,1,2,27
3.75,47,1,4,3
3.75,47,2,1,58
2.5,47,2,1,473
2.5,47,2,2,34
4.375,47,2,4,25
3.125,47,2,4,52
3.75,47,3,2,41
5,48,0,2,29
3.75,48,0,5,54
3.75,48,1,0,10
3.75,48,1,0,48
5,48,1,1,23
4.375,48,1,3,23
3.125,48,1,4,13
1.25,48,2,1,99
4.375,48,2,1,203
3.75,48,3,3,267
4.375,48,3,4,109
3.125,48,4,3,120
4.375,49,0,3,2
4.375,49,1,1,3
3.125,49,1,2,15
0,49,1,2,403
0,49,2,1,53
0,49,2,1,117
0,49,2,2,78
3.75,49,2,3,99
3.75,50,0,0,18
5,50,1,2,22
4.375,50,1,2,45
3.75,50,1,4,72
5,50,2,2,84
3.75,50,2,3,81
4.375,50,3,4,113
4.375,50,4,1,344
3.75,50,4,4,17
0,50,7,2,66
5,51,0,0,1
0,51,1,0,5
3.75,51,1,1,66
3.75,51,1,2,5
3.75,51,1,2,28
3.75,51,1,3,107
4.375,51,1,4,37
4.375,51,1,5,106
5,51,2,2,153
3.75,51,2,2,156
5,51,2,4,20
3.125,52,0,0,0
